counter,name,character_type,diagnosis,actor,single_or_multiple_episodes,season_episode_code,first_episode_title_underscore,first_episode_title_text,last_episode_title_underscore,last_episode_title_text,seasons_array
115,Mary Portman,patient,['Coma'],Mandy Moore,multiple,"['S-6-EP-23', 'S-7-EP-7']",Sanctuary,Sanctuary,That%27s_Me_Trying,That's Me Trying,"['6', '7']"
116,Gladys Pulcher,patient,"['Lung cancer', 'Post-op infection', 'Bed sores']",Doris Roberts,single,"['S-7-EP-19', 'S-7-EP-19']",It%27s_a_Long_Way_Back,It's a Long Way Back,It%27s_a_Long_Way_Back,It's a Long Way Back,['7']
117,Nikki Ratlin,patient,"['Broken leg', 'Splenic laceration']",Michaela Watkins,single,"['S-2-EP-21', 'S-2-EP-21']",Superstition,Superstition,Superstition,Superstition,['2']
118,Marjorie Reed,patient,['Stage IV small-cell lung cancer'],Eileen Ryan,single,"['S-11-EP-2', 'S-11-EP-2']",Puzzle_With_a_Piece_Missing,Puzzle With a Piece Missing,Puzzle_With_a_Piece_Missing,Puzzle With a Piece Missing,['11']
119,Robbie Reeves,patient,"['Scalp laceration', 'Congenital AVM', 'Brain bleed']",Micah Nelson,single,"['S-13-EP-6', 'S-13-EP-6']",Roar,Roar,Roar,Roar,['13']
120,Lily Reilly,family,['No diagnosis available'],Marisol Nichols,single,"['S-6-EP-7', 'S-6-EP-7']",The_World_According_to_Jake,The World According to Jake,The_World_According_to_Jake,The World According to Jake,['6']
121,Melanie Reynolds,patient,['Catastrophic internal injuries'],Sarah LaFleur,single,"['S-2-EP-24', 'S-2-EP-24']",Damage_Case,Damage Case,Damage_Case,Damage Case,['2']
122,Oliver Richter,patient,['Aortic dissection'],Dondré T. Whitfield,single,"['S-7-EP-15', 'S-7-EP-15']",Golden_Hour,Golden Hour,Golden_Hour,Golden Hour,['7']
123,Timothy Robbins,family,['No diagnosis available'],,no information available,[],,,,,[]
124,Phillip Robinson,patient,"['Hand injury', 'Malignant glioma']",Jason O'Mara,multiple,"['S-4-EP-12', 'S-4-EP-13']",Where_the_Wild_Things_Are,Where the Wild Things Are,Piece_of_My_Heart,Piece of My Heart,['4']
125,Scott Robinson,patient,"['Bowel evisceration', 'Mauling injuries']",Steven Flynn,single,"['S-4-EP-12', 'S-4-EP-12']",Where_the_Wild_Things_Are,Where the Wild Things Are,Where_the_Wild_Things_Are,Where the Wild Things Are,['4']
126,Cathy Rogerson,patient,"['Fibrodysplasia ossificans progressiva', 'Internal bleeding']",Catherine Dent,single,"['S-3-EP-19', 'S-3-EP-19']",My_Favorite_Mistake,My Favorite Mistake,My_Favorite_Mistake,My Favorite Mistake,['3']
127,Emily Russell,patient,"['Hypoplastic left heart syndrome', 'Prematurity', 'Restricted atrial septum']",No actor listed.,multiple,"['S-2-EP-10', 'S-2-EP-11']",Much_too_Much,Much too Much,Owner_of_a_Lonely_Heart,Owner of a Lonely Heart,['2']
128,Ruthie Sales,patient,"['Crushed ankle', 'Osteoporosis', 'Bleeding duodenal ulcer']",Maggie Siff,single,"['S-4-EP-4', 'S-4-EP-4']",The_Heart_of_the_Matter,The Heart of the Matter,The_Heart_of_the_Matter,The Heart of the Matter,['4']
129,Tony Savitch,patient,,David Vegh,single,"['S-1-EP-1', 'S-1-EP-1']",A_Hard_Day%27s_Night,A Hard Day's Night,A_Hard_Day%27s_Night,A Hard Day's Night,['1']
130,Erin Shandley,patient,['Brain death'],Bhama Roget,single,"['S-4-EP-5', 'S-4-EP-5']",Haunt_You_Every_Day,Haunt You Every Day,Haunt_You_Every_Day,Haunt You Every Day,['4']
131,Derek Shepherd,attending,['No diagnosis available'],Patrick Dempsey,,[],,,,,[]
132,Mr. Shepherd,family,['No diagnosis available'],Brice Williams,single,"['S-5-EP-8', 'S-5-EP-8']",Who_We_Are,Who We Are,Who_We_Are,Who We Are,['5']
133,Lenny Shulte,patient,"['Mud aspiration', 'Decreased breath sounds', 'Tachypnea', 'Diaphragmatic rupture']",Josh Clark,single,"['S-10-EP-1', 'S-10-EP-1']",Seal_Our_Fate,Seal Our Fate,Seal_Our_Fate,Seal Our Fate,['10']
134,David Simons,patient,"['Chest contusion', 'Cardiac contusion']",Trent Gill,single,"['S-5-EP-22', 'S-5-EP-22']",What_a_Difference_a_Day_Makes,What a Difference a Day Makes,What_a_Difference_a_Day_Makes,What a Difference a Day Makes,['5']
135,"""Cosmo"" Singh",patient,"['Prematurity', 'Respiratory failure']",No actor listed.,single,"['S-12-EP-18', 'S-12-EP-18']","There%27s_a_Fine,_Fine_Line","There's a Fine, Fine Line","There%27s_a_Fine,_Fine_Line","There's a Fine, Fine Line",['12']
136,Mark Sloan,attending,['No diagnosis available'],Eric Dane,,[],,,,,[]
137,Jessica Smithson,patient,"['Tay-Sachs', 'Seizure']",Mary-Charles Jones,single,"['S-5-EP-20', 'S-5-EP-20']",Sweet_Surrender,Sweet Surrender,Sweet_Surrender,Sweet Surrender,['5']
138,Drea Spencer,patient,"['Stab wounds', 'Brain death']",No actor listed.,single,"['S-5-EP-19', 'S-5-EP-19']",And_Then_There_Was_One,And Then There Was One,And_Then_There_Was_One,And Then There Was One,['5']
139,Edward Squire,patient,"['High blood pressure', 'Diabetes', 'Arthritis', 'High cholesterol', 'Erectile dysfunction', 'Scalp laceration', 'Myocardial infarction']",Al White,single,"['S-12-EP-4', 'S-12-EP-4']",Old_Time_Rock_and_Roll,Old Time Rock and Roll,Old_Time_Rock_and_Roll,Old Time Rock and Roll,['12']
140,Jeremiah Tate,patient,"['Cystic fibrosis', 'Pancreatitis', 'Mass']",Thomas Ian Nicholas,single,"['S-2-EP-4', 'S-2-EP-4']","Deny,_Deny,_Deny","Deny, Deny, Deny","Deny,_Deny,_Deny","Deny, Deny, Deny",['2']
141,Steve Tate,patient,"['Depressed skull fracture', 'Subdural bleed', 'Aneurysm', 'Brain death']",Shawn-Caulin Young,single,"['S-11-EP-3', 'S-11-EP-3']",Got_to_Be_Real,Got to Be Real,Got_to_Be_Real,Got to Be Real,['11']
142,Nancy Temple,patient,"['Myocardial infarction', 'Ventricular wall rupture']",Amy Benedict,single,"['S-6-EP-21', 'S-6-EP-21']",How_Insensitive,How Insensitive,How_Insensitive,How Insensitive,['6']
143,Craig Thomas,attending,['No diagnosis available'],William Daniels,multiple,"['S-8-EP-22', 'S-9-EP-5']",Let_the_Bad_Times_Roll,Let the Bad Times Roll,Beautiful_Doom,Beautiful Doom,"['8', '9']"
144,Kendra Thomas,patient,"['Gunshot wound', 'Hematoma', 'Pregnancy']",Jennifer Nyholm,single,"['S-2-EP-25', 'S-2-EP-25']",17_Seconds,17 Seconds,17_Seconds,17 Seconds,['2']
145,Giselle Toussant,patient,"['Car accident injuries', 'Plague', 'Dural laceration']",Elizabeth Goldstein,single,"['S-3-EP-1', 'S-3-EP-1']",Time_Has_Come_Today,Time Has Come Today,Time_Has_Come_Today,Time Has Come Today,['3']
146,Stu Vargas,patient,['Open tibia/fibula fracture'],Geoffrey Rivas,single,"['S-2-EP-8', 'S-2-EP-8']",Let_It_Be,Let It Be,Let_It_Be,Let It Be,['2']
147,Blair Vinson,patient,"['Pregnancy', 'Scalp laceration', 'Seizure', 'Extradural hematoma']",Mekia Cox,single,"['S-11-EP-16', 'S-11-EP-16']",Don%27t_Dream_It%27s_Over,Don't Dream It's Over,Don%27t_Dream_It%27s_Over,Don't Dream It's Over,['11']
148,Vivian (Sanctuary),nurse,['No diagnosis available'],Ingrid Walters,single,"['S-6-EP-23', 'S-6-EP-23']",Sanctuary,Sanctuary,Sanctuary,Sanctuary,['6']
149,Erica Warner,family,['No diagnosis available'],A.J. Langer,multiple,"['S-5-EP-3', 'S-5-EP-18']",Deal_With_It,Deal With It,It_Was_Inevitable,It Was Inevitable,['5']
150,Mr. Warren,family,['No diagnosis available'],Kelly LaMarr,single,"['S-9-EP-10', 'S-9-EP-10']",Things_We_Said_Today,Things We Said Today,Things_We_Said_Today,Things We Said Today,['9']
151,Jeremy Weaver,patient,['Adenocarcinoma'],James McCauley,single,"['S-11-EP-6', 'S-11-EP-6']",Don%27t_Let%27s_Start,Don't Let's Start,Don%27t_Let%27s_Start,Don't Let's Start,['11']
152,Adele Webber,family,['No diagnosis available'],Loretta Devine,multiple,"['S-2-EP-2', 'S-9-EP-10']",Enough_is_Enough,Enough is Enough,Things_We_Said_Today,Things We Said Today,"['2', '9']"
153,Gail Webber,family,['No diagnosis available'],Monique Cash,single,"['S-13-EP-8', 'S-13-EP-8']",The_Room_Where_It_Happens,The Room Where It Happens,The_Room_Where_It_Happens,The Room Where It Happens,['13']
154,Mickey Wenschler,patient,"['Quadriplegia', 'Glioma']",Jay Cramer,single,"['S-10-EP-6', 'S-10-EP-6']",Map_of_You,Map of You,Map_of_You,Map of You,['10']
155,Clark West,patient,"['Meth withdrawal', 'Internal bleeding', 'Cardiomyopathy']",Nicholas Gonzalez,single,"['S-4-EP-2', 'S-4-EP-2']",Love/Addiction,Love/Addiction,Love/Addiction,Love/Addiction,['4']
156,Jeremy West,patient,"['Malignant glioma', 'Seizure']",Marshall Allman,single,"['S-4-EP-16', 'S-4-EP-16']","Freedom,_Part_1","Freedom, Part 1","Freedom,_Part_1","Freedom, Part 1",['4']
157,William White,others,['No diagnosis available'],James Morrison,multiple,"['S-2-EP-21', 'S-3-EP-23']",What_You_Do_for_Love,What You Do for Love,The_End_of_a_Beautiful_Friendship,The End of a Beautiful Friendship,"['2', '3']"
158,Rory Williams,patient,"['Li-Fraumeni Syndrome', 'Osteosarcoma']",Hayley McFarland,single,"['S-10-EP-14', 'S-10-EP-14']",You%27ve_Got_to_Hide_Your_Love_Away,You've Got to Hide Your Love Away,You%27ve_Got_to_Hide_Your_Love_Away,You've Got to Hide Your Love Away,['10']
159,Ken Wilson,patient,['Stroke'],Matt Riedy,single,"['S-1-EP-1', 'S-1-EP-1']","In_Which_We_Meet_Addison,_a_Nice_Girl_From_Somewhere_Else","In Which We Meet Addison, a Nice Girl From Somewhere Else","In_Which_We_Meet_Addison,_a_Nice_Girl_From_Somewhere_Else","In Which We Meet Addison, a Nice Girl From Somewhere Else",['1']
160,Bob Yates,patient,"['Acute myocardial infarction', 'Dissecting aneurysm']",Greg Ainsworth,single,"['S-4-EP-3', 'S-4-EP-3']",Playing_God,Playing God,Playing_God,Playing God,['4']
161,Charlie Yost,patient,['Semi-comatose state'],Jack Axelrod,multiple,"['S-3-EP-6', 'S-4-EP-3']",Let_the_Angels_Commit,Let the Angels Commit,Let_the_Truth_Sting,Let the Truth Sting,"['3', '4']"
162,Brian Young,patient,"['Brain death', 'Throat lesion']",No actor listed.,single,"['S-13-EP-16', 'S-13-EP-16']",Who_Is_He_(And_What_Is_He_To_You)%3F,Who Is He (And What Is He To You)?,Who_Is_He_(And_What_Is_He_To_You)%3F,Who Is He (And What Is He To You)?,['13']
163,Dylan Young,others,['No diagnosis available'],Kyle Chandler,multiple,"['S-2-EP-16', 'S-3-EP-17']",It%27s_the_End_of_the_World,It's the End of the World,Some_Kind_of_Miracle,Some Kind of Miracle,"['2', '3']"
164,Yvonne,patient,['Massive internal bleeding'],Kym Whitley,single,"['S-2-EP-6', 'S-2-EP-6']",Into_You_Like_a_Train,Into You Like a Train,Into_You_Like_a_Train,Into You Like a Train,['2']
